#  L    TT    EE     BB    EB
235    5.74698E+03    1.53642E+00    2.02173E-02    4.51915E+01
236    5.79746E+03    1.46010E+00    1.93845E-02    3.91297E+01
237    4.75428E+03    1.33957E+00    2.04095E-02    3.38939E+01
238    6.01297E+03    1.48949E+00    1.94518E-02    4.38321E+01
239    5.11883E+03    1.51564E+00    1.87929E-02    3.62427E+01
240    5.14847E+03    1.55563E+00    2.03265E-02    4.14746E+01
241    5.51361E+03    1.55549E+00    1.99215E-02    4.42128E+01
242    5.91554E+03    1.66830E+00    1.86829E-02    5.03710E+01
243    5.88795E+03    1.77209E+00    2.28060E-02    4.81303E+01
244    4.73740E+03    1.86985E+00    2.13770E-02    4.56670E+01
245    5.03762E+03    1.95296E+00    2.02207E-02    4.92255E+01
246    5.67388E+03    2.08569E+00    2.24174E-02    5.91444E+01
247    5.12044E+03    1.98022E+00    2.08945E-02    5.11892E+01
248    5.92805E+03    2.50987E+00    2.14413E-02    7.02728E+01
249    5.01765E+03    2.07576E+00    2.14645E-02    5.18185E+01
250    5.06062E+03    2.44330E+00    2.41295E-02    6.18733E+01
251    5.24730E+03    2.55977E+00    2.38338E-02    6.11202E+01
252    5.39485E+03    2.27256E+00    2.23967E-02    6.18509E+01
253    4.81709E+03    2.42085E+00    2.22391E-02    5.82357E+01
254    5.29899E+03    2.70388E+00    2.34365E-02    6.57572E+01
255    6.14835E+03    2.69533E+00    2.13877E-02    7.74085E+01
256    5.38329E+03    3.02738E+00    2.46487E-02    7.36635E+01
257    5.04006E+03    3.02698E+00    2.25463E-02    7.45697E+01
258    5.07983E+03    2.92274E+00    2.28056E-02    7.02071E+01
259    4.75283E+03    2.82794E+00    2.56767E-02    6.11638E+01
260    4.77486E+03    3.26029E+00    2.22037E-02    7.60398E+01
261    4.97739E+03    3.10722E+00    2.47337E-02    7.53752E+01
262    5.41656E+03    3.61417E+00    2.29941E-02    8.35782E+01
263    4.92143E+03    3.27984E+00    2.38850E-02    7.94989E+01
264    4.96258E+03    3.94821E+00    2.18596E-02    8.21209E+01
265    5.21712E+03    3.45646E+00    2.59880E-02    8.10654E+01
266    4.28925E+03    3.30136E+00    2.35202E-02    6.69639E+01
267    5.24620E+03    3.59703E+00    2.44147E-02    7.83063E+01
268    4.32917E+03    3.79178E+00    2.41664E-02    7.80517E+01
269    4.71431E+03    4.00485E+00    2.59216E-02    8.16887E+01
270    4.45040E+03    4.22177E+00    2.38309E-02    8.79282E+01
271    5.24993E+03    4.43274E+00    2.60075E-02    9.81324E+01
272    4.56113E+03    4.26045E+00    2.54851E-02    8.56925E+01
273    4.93961E+03    4.67556E+00    2.46095E-02    8.92733E+01
274    4.72228E+03    4.63883E+00    2.48687E-02    8.97399E+01
275    4.32919E+03    4.32560E+00    2.75698E-02    7.99202E+01
276    5.06215E+03    5.29043E+00    2.54948E-02    1.06808E+02
277    4.12040E+03    4.98668E+00    2.82693E-02    8.25545E+01
278    4.86608E+03    5.50702E+00    2.49523E-02    1.05200E+02
279    4.59736E+03    5.60790E+00    2.51406E-02    9.91024E+01
280    4.45406E+03    4.80354E+00    2.46258E-02    9.21598E+01
281    5.04912E+03    5.99707E+00    2.39202E-02    1.10496E+02
282    4.42009E+03    6.06427E+00    2.73032E-02    1.07157E+02
283    4.70960E+03    6.77335E+00    2.87674E-02    1.12234E+02
284    4.59883E+03    6.12096E+00    2.99357E-02    9.98623E+01
285    4.15259E+03    6.23604E+00    2.47049E-02    1.05124E+02
286    4.53293E+03    6.61912E+00    2.70856E-02    1.08887E+02
287    4.23247E+03    6.29307E+00    2.85772E-02    1.01440E+02
288    4.47144E+03    6.70345E+00    2.75657E-02    1.09656E+02
289    4.46021E+03    7.27859E+00    3.42170E-02    1.12182E+02
290    4.70951E+03    7.74890E+00    2.94578E-02    1.22720E+02
291    4.52441E+03    7.95264E+00    2.63013E-02    1.21165E+02
292    4.35425E+03    6.92095E+00    2.71374E-02    1.06068E+02
293    4.23081E+03    8.26237E+00    2.74190E-02    1.20888E+02
294    4.43966E+03    8.07274E+00    2.96911E-02    1.26105E+02
295    4.69768E+03    8.63796E+00    2.78850E-02    1.28190E+02
296    4.11199E+03    7.60633E+00    3.13988E-02    9.56573E+01
297    4.29088E+03    8.82072E+00    3.11355E-02    1.22045E+02
298    4.50188E+03    9.89274E+00    3.09449E-02    1.48544E+02
299    4.12428E+03    8.32133E+00    2.94977E-02    1.12187E+02
300    3.80924E+03    9.11182E+00    3.14302E-02    1.15176E+02
301    4.15199E+03    8.80956E+00    2.95139E-02    1.21297E+02
302    4.28633E+03    9.61544E+00    2.95625E-02    1.21748E+02
303    3.69921E+03    8.77661E+00    2.94795E-02    1.04309E+02
304    4.41887E+03    9.40719E+00    3.01904E-02    1.31714E+02
305    4.02847E+03    1.01311E+01    3.22764E-02    1.23745E+02
306    3.59863E+03    1.02193E+01    3.22788E-02    1.20578E+02
307    3.76655E+03    9.94647E+00    3.07182E-02    1.14323E+02
308    3.65513E+03    1.06618E+01    3.12721E-02    1.14532E+02
309    3.72741E+03    1.15621E+01    3.04092E-02    1.27210E+02
310    4.04225E+03    1.11762E+01    3.05635E-02    1.28848E+02
311    4.02417E+03    1.13443E+01    3.06288E-02    1.26405E+02
312    3.81195E+03    1.18391E+01    3.16369E-02    1.31736E+02
313    3.26595E+03    1.12819E+01    3.15632E-02    1.05533E+02
314    3.66046E+03    1.18901E+01    3.03957E-02    1.20984E+02
315    3.55487E+03    1.18137E+01    3.10711E-02    1.22436E+02
316    3.48001E+03    1.18133E+01    3.16362E-02    1.15855E+02
317    3.44497E+03    1.19286E+01    3.19620E-02    1.15696E+02
318    3.38048E+03    1.27312E+01    3.35258E-02    1.17862E+02
319    3.38490E+03    1.25817E+01    3.24612E-02    1.15757E+02
320    3.19837E+03    1.23391E+01    3.08137E-02    1.14061E+02
321    3.41794E+03    1.28930E+01    3.11473E-02    1.30491E+02
322    2.93208E+03    1.33221E+01    3.42952E-02    1.03696E+02
