# L    TT    EE    BB    TE    PP    TP    EP
103    2.78752E+03    8.19799E-01    6.30104E-05    -2.51912E+01    9.93713E-08    3.56701E-04    -1.06186E-06
104    2.81930E+03    8.33976E-01    6.25922E-05    -2.58525E+01    9.87501E-08    3.52674E-04    -1.03633E-06
105    2.85128E+03    8.47949E-01    6.21519E-05    -2.65126E+01    9.81328E-08    3.48720E-04    -1.01135E-06
106    2.88345E+03    8.61703E-01    6.16900E-05    -2.71708E+01    9.75192E-08    3.44834E-04    -9.87618E-07
107    2.91580E+03    8.75230E-01    6.12072E-05    -2.78267E+01    9.69095E-08    3.41013E-04    -9.65808E-07
108    2.94831E+03    8.88508E-01    6.07040E-05    -2.84797E+01    9.63037E-08    3.37251E-04    -9.46612E-07
109    2.98100E+03    9.01531E-01    6.01812E-05    -2.91291E+01    9.57020E-08    3.33545E-04    -9.30714E-07
110    3.01385E+03    9.14275E-01    5.96394E-05    -2.97745E+01    9.51043E-08    3.29890E-04    -9.18799E-07
111    3.04685E+03    9.26734E-01    5.90792E-05    -3.04154E+01    9.45108E-08    3.26282E-04    -9.11379E-07
112    3.08001E+03    9.38900E-01    5.85014E-05    -3.10510E+01    9.39213E-08    3.22721E-04    -9.08275E-07
113    3.11331E+03    9.50750E-01    5.79068E-05    -3.16809E+01    9.33360E-08    3.19207E-04    -9.09133E-07
114    3.14674E+03    9.62270E-01    5.72963E-05    -3.23045E+01    9.27548E-08    3.15740E-04    -9.13601E-07
115    3.18031E+03    9.73460E-01    5.66706E-05    -3.29212E+01    9.21778E-08    3.12321E-04    -9.21326E-07
116    3.21400E+03    9.84304E-01    5.60306E-05    -3.35305E+01    9.16048E-08    3.08948E-04    -9.31956E-07
117    3.24781E+03    9.94780E-01    5.53771E-05    -3.41318E+01    9.10360E-08    3.05624E-04    -9.45138E-07
118    3.28172E+03    1.00489E+00    5.47109E-05    -3.47244E+01    9.04712E-08    3.02347E-04    -9.60521E-07
119    3.31574E+03    1.01461E+00    5.40328E-05    -3.53080E+01    8.99106E-08    2.99119E-04    -9.77753E-07
120    3.34985E+03    1.02395E+00    5.33437E-05    -3.58818E+01    8.93541E-08    2.95938E-04    -9.96482E-07
121    3.38404E+03    1.03288E+00    5.26443E-05    -3.64454E+01    8.88016E-08    2.92806E-04    -1.01636E-06
122    3.41831E+03    1.04140E+00    5.19355E-05    -3.69982E+01    8.82533E-08    2.89723E-04    -1.03703E-06
123    3.45265E+03    1.04949E+00    5.12180E-05    -3.75396E+01    8.77091E-08    2.86688E-04    -1.05814E-06
124    3.48705E+03    1.05715E+00    5.04928E-05    -3.80690E+01    8.71689E-08    2.83702E-04    -1.07934E-06
125    3.52150E+03    1.06438E+00    4.97605E-05    -3.85860E+01    8.66329E-08    2.80766E-04    -1.10029E-06
126    3.55600E+03    1.07115E+00    4.90221E-05    -3.90900E+01    8.61009E-08    2.77879E-04    -1.12063E-06
127    3.59052E+03    1.07747E+00    4.82784E-05    -3.95804E+01    8.55731E-08    2.75041E-04    -1.14000E-06
128    3.62507E+03    1.08333E+00    4.75301E-05    -4.00568E+01    8.50494E-08    2.72253E-04    -1.15807E-06
129    3.65963E+03    1.08872E+00    4.67781E-05    -4.05186E+01    8.45297E-08    2.69515E-04    -1.17448E-06
130    3.69421E+03    1.09364E+00    4.60232E-05    -4.09653E+01    8.40142E-08    2.66827E-04    -1.18887E-06
131    3.72877E+03    1.09807E+00    4.52661E-05    -4.13962E+01    8.35028E-08    2.64190E-04    -1.20098E-06
132    3.76333E+03    1.10202E+00    4.45075E-05    -4.18111E+01    8.29954E-08    2.61601E-04    -1.21083E-06
133    3.79787E+03    1.10547E+00    4.37481E-05    -4.22093E+01    8.24921E-08    2.59059E-04    -1.21852E-06
134    3.83239E+03    1.10845E+00    4.29883E-05    -4.25904E+01    8.19928E-08    2.56563E-04    -1.22416E-06
135    3.86687E+03    1.11092E+00    4.22288E-05    -4.29541E+01    8.14975E-08    2.54112E-04    -1.22784E-06
136    3.90132E+03    1.11290E+00    4.14702E-05    -4.32996E+01    8.10061E-08    2.51703E-04    -1.22968E-06
137    3.93571E+03    1.11438E+00    4.07131E-05    -4.36266E+01    8.05187E-08    2.49335E-04    -1.22976E-06
138    3.97005E+03    1.11537E+00    3.99580E-05    -4.39347E+01    8.00352E-08    2.47007E-04    -1.22819E-06
139    4.00432E+03    1.11586E+00    3.92055E-05    -4.42235E+01    7.95555E-08    2.44717E-04    -1.22508E-06
140    4.03853E+03    1.11585E+00    3.84564E-05    -4.44925E+01    7.90797E-08    2.42464E-04    -1.22053E-06
141    4.07265E+03    1.11535E+00    3.77110E-05    -4.47413E+01    7.86078E-08    2.40246E-04    -1.21463E-06
142    4.10668E+03    1.11436E+00    3.69701E-05    -4.49696E+01    7.81396E-08    2.38062E-04    -1.20749E-06
143    4.14062E+03    1.11288E+00    3.62342E-05    -4.51769E+01    7.76751E-08    2.35910E-04    -1.19921E-06
144    4.17444E+03    1.11092E+00    3.55040E-05    -4.53629E+01    7.72145E-08    2.33788E-04    -1.18989E-06
145    4.20816E+03    1.10846E+00    3.47799E-05    -4.55270E+01    7.67575E-08    2.31696E-04    -1.17963E-06
146    4.24174E+03    1.10554E+00    3.40627E-05    -4.56691E+01    7.63042E-08    2.29631E-04    -1.16854E-06
147    4.27517E+03    1.10214E+00    3.33528E-05    -4.57885E+01    7.58545E-08    2.27592E-04    -1.15672E-06
148    4.30844E+03    1.09828E+00    3.26510E-05    -4.58849E+01    7.54085E-08    2.25578E-04    -1.14426E-06
149    4.34153E+03    1.09397E+00    3.19577E-05    -4.59580E+01    7.49661E-08    2.23587E-04    -1.13127E-06
150    4.37443E+03    1.08920E+00    3.12737E-05    -4.60073E+01    7.45273E-08    2.21617E-04    -1.11785E-06
151    4.40713E+03    1.08400E+00    3.05993E-05    -4.60326E+01    7.40920E-08    2.19668E-04    -1.10409E-06
152    4.43962E+03    1.07835E+00    2.99349E-05    -4.60334E+01    7.36603E-08    2.17738E-04    -1.09002E-06
153    4.47189E+03    1.07230E+00    2.92807E-05    -4.60095E+01    7.32321E-08    2.15829E-04    -1.07567E-06
154    4.50394E+03    1.06583E+00    2.86368E-05    -4.59609E+01    7.28073E-08    2.13939E-04    -1.06106E-06
155    4.53576E+03    1.05897E+00    2.80036E-05    -4.58870E+01    7.23860E-08    2.12069E-04    -1.04620E-06
156    4.56736E+03    1.05172E+00    2.73811E-05    -4.57878E+01    7.19681E-08    2.10218E-04    -1.03113E-06
157    4.59872E+03    1.04409E+00    2.67695E-05    -4.56629E+01    7.15536E-08    2.08387E-04    -1.01586E-06
158    4.62984E+03    1.03612E+00    2.61692E-05    -4.55121E+01    7.11426E-08    2.06575E-04    -1.00042E-06
159    4.66071E+03    1.02779E+00    2.55802E-05    -4.53353E+01    7.07349E-08    2.04782E-04    -9.84819E-07
160    4.69132E+03    1.01914E+00    2.50027E-05    -4.51322E+01    7.03305E-08    2.03008E-04    -9.69091E-07
161    4.72165E+03    1.01018E+00    2.44371E-05    -4.49026E+01    6.99294E-08    2.01253E-04    -9.53254E-07
162    4.75169E+03    1.00092E+00    2.38834E-05    -4.46463E+01    6.95317E-08    1.99516E-04    -9.37331E-07
163    4.78143E+03    9.91398E-01    2.33419E-05    -4.43631E+01    6.91372E-08    1.97799E-04    -9.21342E-07
164    4.81085E+03    9.81608E-01    2.28127E-05    -4.40529E+01    6.87459E-08    1.96100E-04    -9.05310E-07
165    4.83994E+03    9.71575E-01    2.22961E-05    -4.37154E+01    6.83579E-08    1.94419E-04    -8.89257E-07
166    4.86870E+03    9.61323E-01    2.17923E-05    -4.33506E+01    6.79731E-08    1.92757E-04    -8.73205E-07
167    4.89712E+03    9.50873E-01    2.13014E-05    -4.29582E+01    6.75914E-08    1.91112E-04    -8.57176E-07
168    4.92518E+03    9.40248E-01    2.08237E-05    -4.25384E+01    6.72129E-08    1.89486E-04    -8.41192E-07
169    4.95288E+03    9.29471E-01    2.03594E-05    -4.20910E+01    6.68376E-08    1.87878E-04    -8.25274E-07
170    4.98022E+03    9.18558E-01    1.99086E-05    -4.16160E+01    6.64653E-08    1.86288E-04    -8.09445E-07
171    5.00717E+03    9.07538E-01    1.94716E-05    -4.11132E+01    6.60962E-08    1.84715E-04    -7.93726E-07
172    5.03374E+03    8.96435E-01    1.90486E-05    -4.05827E+01    6.57301E-08    1.83161E-04    -7.78140E-07
173    5.05991E+03    8.85270E-01    1.86397E-05    -4.00244E+01    6.53671E-08    1.81623E-04    -7.62708E-07
174    5.08568E+03    8.74067E-01    1.82451E-05    -3.94383E+01    6.50071E-08    1.80103E-04    -7.47452E-07
175    5.11103E+03    8.62863E-01    1.78652E-05    -3.88245E+01    6.46501E-08    1.78601E-04    -7.32394E-07
176    5.13597E+03    8.51673E-01    1.74999E-05    -3.81830E+01    6.42960E-08    1.77115E-04    -7.17550E-07
177    5.16047E+03    8.40535E-01    1.71491E-05    -3.75138E+01    6.39449E-08    1.75646E-04    -7.02914E-07
178    5.18453E+03    8.29473E-01    1.68126E-05    -3.68169E+01    6.35968E-08    1.74194E-04    -6.88472E-07
179    5.20814E+03    8.18509E-01    1.64901E-05    -3.60924E+01    6.32515E-08    1.72758E-04    -6.74212E-07
180    5.23131E+03    8.07680E-01    1.61814E-05    -3.53405E+01    6.29091E-08    1.71338E-04    -6.60122E-07
181    5.25400E+03    7.97018E-01    1.58861E-05    -3.45612E+01    6.25695E-08    1.69933E-04    -6.46187E-07
182    5.27623E+03    7.86553E-01    1.56042E-05    -3.37548E+01    6.22328E-08    1.68543E-04    -6.32396E-07
183    5.29799E+03    7.76307E-01    1.53352E-05    -3.29212E+01    6.18988E-08    1.67169E-04    -6.18737E-07
184    5.31926E+03    7.66319E-01    1.50790E-05    -3.20609E+01    6.15676E-08    1.65808E-04    -6.05195E-07
185    5.34005E+03    7.56626E-01    1.48353E-05    -3.11736E+01    6.12391E-08    1.64462E-04    -5.91759E-07
186    5.36033E+03    7.47252E-01    1.46039E-05    -3.02599E+01    6.09133E-08    1.63129E-04    -5.78416E-07
187    5.38011E+03    7.38226E-01    1.43845E-05    -2.93197E+01    6.05902E-08    1.61810E-04    -5.65153E-07
188    5.39938E+03    7.29591E-01    1.41768E-05    -2.83535E+01    6.02697E-08    1.60504E-04    -5.51958E-07
189    5.41813E+03    7.21378E-01    1.39807E-05    -2.73613E+01    5.99518E-08    1.59211E-04    -5.38818E-07
190    5.43636E+03    7.13621E-01    1.37959E-05    -2.63434E+01    5.96365E-08    1.57930E-04    -5.25719E-07
